date,clockin_time,offwork_at,offwork_actual
2026-08-03,09:12,2026-08-03 19:12:00,2026-08-03 19:05:30
2026-08-04,09:00,2026-08-04 19:00:00,2026-08-04 19:00:00
2026-08-05,09:30,2026-08-05 19:30:00,2026-08-05 20:45:00
2026-08-06,08:55,2026-08-06 18:55:00,2026-08-06 19:30:00
2026-08-07,09:05,2026-08-07 19:05:00,
2026-08-08,10:00,2026-08-08 15:00:00,2026-08-08 15:00:00
2026-08-09,11:00,2026-08-09 16:00:00,2026-08-09 16:00:00
2026-08-10,09:10,2026-08-10 19:10:00,2026-08-10 19:40:00
2026-08-11,09:02,2026-08-11 19:02:00,2026-08-11 19:02:00
2026-08-12,09:00,2026-08-12 19:00:00,2026-08-12 19:00:00
2026-08-13,09:20,2026-08-13 19:20:00,2026-08-13 19:20:00
2026-08-14,09:00,2026-08-14 19:00:00,2026-08-14 21:00:00
2026-08-15,10:30,2026-08-15 15:30:00,2026-08-15 16:00:00
2026-08-17,08:50,2026-08-17 18:50:00,2026-08-17 18:50:00
2026-08-18,09:15,2026-08-18 19:15:00,2026-08-18 19:15:00
2026-08-19,09:00,2026-08-19 19:00:00,2026-08-19 21:30:00
2026-08-20,09:10,2026-08-20 19:10:00,2026-08-20 19:10:00
2026-08-21,09:00,2026-08-21 19:00:00,2026-08-21 22:00:00
2026-08-22,10:00,2026-08-22 14:00:00,2026-08-22 14:30:00
2026-08-23,10:30,2026-08-23 13:30:00,2026-08-23 13:30:00
2026-08-24,09:00,2026-08-24 19:00:00,2026-08-24 19:00:00
2026-08-25,08:55,2026-08-25 18:55:00,2026-08-25 18:55:00
2026-08-26,09:05,2026-08-26 19:05:00,2026-08-26 19:30:00
2026-08-27,09:00,2026-08-27 19:00:00,2026-08-27 19:00:00
2026-08-28,09:10,2026-08-28 19:10:00,2026-08-28 19:10:00
2026-08-29,09:00,2026-08-29 19:00:00,2026-08-29 19:00:00
2026-08-30,10:00,2026-08-30 14:00:00,2026-08-30 14:00:00
2026-08-31,09:05,2026-08-31 19:05:00,2026-08-31 19:05:00
